nome,genero,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,quant_viagem,salario_bruto_par,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par ,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab ,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab
ANTONIO RIBEIRO,M,86,6,0,30,4,14,03/03/1944,0,"33.763,00","361.093,35",40812.78,41699.11,53527.13,42212.73,53135.08,32573.14,21560.81,17788.85,19494.29,37332.36,957.07,0,110889.19,110889.19,110889.19,110313.55,109560.78,110047.86,110889.19,110889.19,110889.19,110889.19,0,0,1106146.52
FERNANDO RODOLFO TENORIO DE VASCONCELOS,M,83,4,5,17,3,51,17/11/1983,0,"33.763,00","295.230,86",34398.75,34442.45,46954.27,61790.50,42253.99,30175.92,26376.10,10140.69,7883.19,815.00,0,0,110824.90,108472.48,109833.05,104726.42,110607.73,107797.77,106334.87,77927.20,90812.99,88404.25,0,0,1015741.66
FERNANDO MONTEIRO DE ALBUQUERQUE,M,87,5,0,17,4,3,17/09/1976,1,"33.763,00","313.976,39",33166.59,36756.35,50815.63,46090.78,35207.06,35106.58,33522.18,12348.74,7355.49,22923.02,683.97,0,111665.62,111462.42,111451.57,108833.71,111665.62,111665.62,111665.62,110146.43,102361.66,104196.43,0,0,1095114.70
GELSON DE AZEVEDO ALMEIDA,M,88,0,4,17,0,13,10/01/1965,0,"33.763,00","268.046,24",17208.87,18142.04,73589.54,23955.82,60671.30,21380.73,24088.36,10719.92,15215.86,1858.58,1215.22,0,111429.10,111429.10,111429.10,111207.70,111523.22,111580.75,111580.75,111580.75,111580.75,109244.43,0,0,1112585.65
FERNANDO BEZERRA DE SOUZA COELHO FILHO,M,81,5,6,6,4,39,28/02/1984,0,"33.763,00","265.195,17",32904.38,26191.67,46599.60,42640.35,22991.65,38141.86,34943.44,7902.03,1389.61,11490.58,0,0,106461.21,106461.21,106461.21,106461.21,107548.75,111277.47,111277.47,110295.40,110786.15,110786.15,0,0,1087816.23
FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,M,82,10,0,13,3,10,29/05/1991,0,"33.763,00","280.703,15",39534.77,31018.40,49744.00,46765.21,50641.59,43365.67,18271.75,239.65,40.19,487.13,594.79,0,97669.43,98842.46,98853.61,101434.99,105314.69,105934.61,105601.33,88221.20,71613.40,65419.80,0,0,938905.52
EDUARDO LUIZ BARROS BARBOSA,M,92,0,0,90,0,17,25/08/1958,0,"33.763,00","244.717,26",22913.32,25992.80,30951.65,37263.00,34686.06,29255.32,23832.28,9244.83,5608.98,24588.51,380.51,0,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111485.04,0,0,1114565.19
LUISA CANZIANI DOS SANTOS SILVEIRA,F,82,0,10,18,0,48,11/04/1996,0,"33.763,00","285.386,61",27680.49,45240.66,36807.66,34716.65,40742.27,35801.06,23760.78,18969.09,8973.68,12687.07,7.20,0,111489.76,107944.29,101185.89,106123.31,110764.80,108871.95,100476.78,99154.41,109664.15,110012.04,0,0,1065687.38
ZACARIAS CALIL HAMU,M,82,6,4,85,6,26,05/11/1953,0,"33.763,00","227.416,04",25614.66,32870.88,33504.56,32975.66,32600.29,18394.14,17770.75,7364.25,5362.04,20331.91,626.90,0,83672.50,77891.18,81413.26,83956.98,83956.98,83754.79,77891.18,77891.18,77891.18,77891.18,0,0,806210.41
LUIZ ALBERTO OVANDO,M,86,5,1,70,0,12,25/09/1949,0,"33.763,00","340.885,82",40038.05,41231.34,52947.39,46480.82,47335.38,30870.88,29474.27,27038.62,21398.59,3657.89,412.59,0,96640.72,96640.72,97315.81,97550.62,97550.62,97550.62,97550.62,97550.62,97550.62,97550.62,0,0,973451.59
